word,synonyms
تفرّق,['سَتّ']
إعطاء(من دون سؤال),['تَبَرُّع']
تجاوب,['اِسْتَجَابَ']
خلا-من الناس-,"['أَوْحَشَالمَكانَ', 'أَقْفَرَ']"
وطء,"['تَخَبُّط', 'ضَرْب', 'أَذِيَة']"
ماهر,"['حَاذِق', 'بَارِع']"
عبس,['سَهُنَ']
مؤيّد,"['تَابِع', 'تَالِي', 'مُشَايِع']"
قسا,"['خَشُنَ', 'غَلُظَ']"
إغلاق,"['رَتْق', 'سَدّ', 'إِصْلاَح']"
عدم -الوفاء-,"['حِنْث', 'إِخْلاَف']"
انزواء,"['تَقَلُّص', 'اِنْضِمَام', 'تَجَمُّع']"
أملق(الرّجل),['اِفْتَقَرَ']
قسم,"['جُزْء', 'بَعْض']"
إضاعة,"['فُقْدَان', 'تَّضْيِيع']"
مبتل,"['رَطْب', 'نَدِيّ']"
قذر,['رَجِس']
تفرّع,['تَشَعَّبَ']
ممتلئ,"['شَبِيع', 'مُشْبَع']"
تفرّد,"['اِنْفِرَاد', 'اِخْتِلاَءبالنَفْس']"
سّقي,"['إِزْوَاء', 'إِشْبَاع']"
أوطاد,['جِبَال']
دمامة,"['بَشَاعَة', 'قُبْح']"
أوابد,['وُحُوش']
رقاد,['نَوْم']
بادل(الكره),"['بَاغَضَ', 'مَاقَتَ']"
باذخ,"['مُفَاخِر', 'عَالِي', 'مُتَكَبِر']"
امتعاض,['اِسْتِيَاء']
برع,"['حَذِقَ', 'مَهَرَ']"
كتوم,"['بَلِس', 'سَاكِت']"
تدنّى,"['دَنَا', 'قَرُبَ']"
خالي البطن,"['خَمْصَان', 'ضَامِر البطن']"
أغمد(السيف),['أَدْخَلَ']
برس,"['شِدَة', 'قَسْوَة']"
برض,['قَلِيل']
حلّل,"['أَبَاحَ', 'أَجَازَ', 'حَلَّ']"
برت,['تَحَيَّرَ']
استمر,['دَامَ']
