error,correction
"\b[nN]orth(?<=(?:,|\b(?:[a-z]+|The))\s+\w+)(east|west)?[-/][sS]outh(east|west)?\b(?!\s+[A-Z])",north\1–south\2
"\b[sS]outh(?<=(?:,|\b(?:[a-z]+|The))\s+\w+)(east|west)?[-/][nN]orth(east|west)?\b(?!\s+[A-Z])",south\1–north\2
"\b[eE]ast(?<=(?:,|\b(?:[a-z]+|The))\s+\w+)-[wW]est\b(?!\s+[A-Z])",east–west
"\b[wW]est(?<=(?:,|\b(?:[a-z]+|The))\s+\w+)-[eE]ast\b(?!\s+[A-Z])",west–east
\b([nN]orth(?:east|west)?)[-/][sS](outh(?:east|west)?)(?=\s+(?:a(?:lignment|venue|xis)|bo(?:rder|undary)|corridor|di(?:rection|stance|vi(?:de|sion))|ex(?:pressway|ten(?:sion|t))|highway|interstate|l(?:ength|in[ek])|m(?:ain|ountain)|orientation|portion|quadrant|r(?:ail(?:way)?|idge|oad)|r(?:oute|un(?:ning|way))|s(?:e(?:ction|gment)|treet)|tra(?:de|ffic))s?\b),\1–s\2
\b([sS]outh(?:east|west)?)[-/][nN](orth(?:east|west)?)(?=\s+(?:a(?:lignment|venue|xis)|bo(?:rder|undary)|corridor|di(?:rection|stance|vi(?:de|sion))|ex(?:pressway|ten(?:sion|t))|highway|interstate|l(?:ength|in[ek])|m(?:ain|ountain)|orientation|portion|quadrant|r(?:ail(?:way)?|idge|oad)|r(?:oute|un(?:ning|way))|s(?:e(?:ction|gment)|treet)|tra(?:de|ffic))s?\b),\1–n\2
\b([eE]ast)[-/][wW](est)(?=\s+(?:a(?:lignment|venue|xis)|bo(?:rder|undary)|corridor|di(?:rection|stance|vi(?:de|sion))|ex(?:pressway|ten(?:sion|t))|highway|interstate|l(?:ength|in[ek])|m(?:ain|ountain)|orientation|portion|quadrant|r(?:ail(?:way)?|idge|oad)|r(?:oute|un(?:ning|way))|s(?:e(?:ction|gment)|treet)|tra(?:de|ffic))s?\b),\1–w\2
\b([wW]est)[-/][eE](ast)(?=\s+(?:a(?:lignment|venue|xis)|bo(?:rder|undary)|corridor|di(?:rection|stance|vi(?:de|sion))|ex(?:pressway|ten(?:sion|t))|highway|interstate|l(?:ength|in[ek])|m(?:ain|ountain)|orientation|portion|quadrant|r(?:ail(?:way)?|idge|oad)|r(?:oute|un(?:ning|way))|s(?:e(?:ction|gment)|treet)|tra(?:de|ffic))s?\b),\1–e\2
\b([aA]|[eE]lectroa|[pP]hotoa)custic(al|s?)\b,\1coustic\2
\b([eE])[bcf]ening\b,\1vening
"\b(?<=[\s\(]|\A)([aA])(?<=a|(?:[\.\n]\s\s?\s?|\A)A)\s\s?((?:[aA](?!\b|2\b|[aA]A?[aTA]?|b(?:ogado|rirse)|c(?:a(?:demiei|o)|ceptat?a?|estei|ordo|quis)|ddaswyd|ED|FN|f(?:ace|ecta)|j(?:outé|uns)|l(?:ba\b|calde|do\b|guien\b|ma)|LL|m(?:basadei|érica)|MD|[nN](?:\b|amnese|[dD]\b|daluc|G|ihila|tiga|ului)|OA|p(?:a(?:gar\b|recer\b)|ostar\b|robat\b)|quest|r(?:der\b|enys\b|matei\b|quitectura|te(?:\b|lor\b))|R[S\$]|s(?:\b|souvi)|t(?:\b|ahualpa\b|enuar|hair|lântida|riz|teint)|U[DS\$\£]|us(?:iàs|triei\b)|v(?:ançar|enida|ut\b)|WG|ZN)|[eE](?!\b|cologia|di(?:ção|l\b|tora\b)|gipto|GP|l(?:a\b|itei\b|las\b)|m(?:a\b|b(?:ajadora|oîté)|igracja|pezar\b)|n(?:core\sdu|ergia|f(?:lamm[eé]|rentar)|ga(?:gé|ñar)|loquecer|se[nñ]ar|tend(?:erse|u)\b|tra(?:da|[iî]n[eé]|r\b)|tre(?:na(?:dor|r))?|voyé)|qui(?:librista|p[ao])|RN|s(?:as?\b|c(?:a[dl]a|ola|u(?:char|ela|ltura|ridão))|fera|p(?:a(?:ldas|[nñń])|erança))|st(?:a(?:\b|ciones|dos|r\b)|é|e(?:\b|ban)|o(?:\b|s\b)|ra(?:da|t[eé][gx]ia)|r(?:é[il]a|e(?:[il]a|llar)|uc?tura)|udia[nr])|TB\b|t(?:é|e(?:rna)?)?\b|[uU](?:[A-Za-z]{2}|\sde\b)|u\b|U[IR]|v(?:acuar|r(?:eilor|op))|w[abei]|x(?:ist[ée](?:ncia)?|p(?:ansão|eri[eê]ncia|osição|ressão))|xtranj)|h(?:aut[besu]|eir|o(?:rs\sd|ur(?:\b|[gs]|ly)))|[iI](?!\b|a(?:ij|[șş]i)|DR\b|greja|[iI][iI]?[iI]?|l(?:\sraen\b|egal|ha\b)|LS|m(?:age[nm]\b|igração|magini\b)|n(?:\b|ceput|dia[’']?s\b|d(?:icação|ro\b|úst)|és|f(?:luência|ormační)|glat|icios|nei\b|quisição|s(?:t(?:ancias|itucí)|ulté)|t(?:e(?:gra(?:nte|rse)|ligência|r(?:preta|ven)[cç][aã]o)|imidade|ra\b)|v(?:asão|e(?:nté|stit)))|NR\b|QD\b|R(?:£|R\b)|s(?:\b|chia\b|la\b|te\b)|SK|ts?\b|u(?:bit(?:\b|-o\b)|d(?:ex\b|ice\b)|re\b)|[vx]\b|V(?:th|\b)|XC?\b|[\b\d])|M(?:D\b|VP\b)|[oO](?!\b|ax|b(?:a\b|čan|chodní|ra|tenu|ţi|yv)|c(?:cidente|h(?:o|rany)|upat)|d(?:\b|e[cč]et\b)|este|f(?:\b|erecer)|ggi|hniv|ito\b|kol[íi]e?\b|l(?:ot\b|še\b|vidarte)|mnisciê|MR\b|nda\b|[nN](?:\s|[cçiIC][eaE]|[eE](?!g(?:\b|a\b|es|in)|i(?:da|[lr])|rous))|O\b|opa|p(?:éra|erador\b)|ra?\b|[rR](?:\b|a(?:[şsș]ului|z\b)|chestr\b|d(?:em|inii)|fu\b|i(?:\b|lla))|S-9\b|s(?:asuna|curas|o(?:bnosti|na))|t(?:r[ao]\b|tobre)|u(?:\b|a[bcdglt]|ed|i|tro)|v(?:elha|iedo))|u(?!\b|[A-Z\dcček\:\.\-]|a(?:dim|h\b|in\b)|b[aiou]|d(?:ev\b|raw\b)|fo|g(?:a(?:li|nd)|x\b)|i(?:le\b|n|ro|tat\b)|jam|l(?:ak|u)|m(?:a\b|\b|ění\b|r(?:ia|l))|n(?:(?:\s|a(?:ni|ry|s\b|\b|te\b))|d\b|e(?:\b|i\b|sco)|o[rs]?\b|s\b|uib?)|ni(?!d(?:[eol]|io)|gn|ll|m(?:ag|[bim]|p[aeloru])|n(?:au|[cd]|eb|[fghjk]|i[nt]|oc|[tnvsq])|r(?:ad|[kr]|on))|omo|p(?:azilas?|risin\b)|r[aeiolsuy]|s[aeiou]|s(?:b(?:net)?|d)\b|s\$|s(?:hape|t(?:ream|ed(?:es)?\b))|t(?:[aeiou]|r(?:anga|ic))|[vž]|yu\b|zs\b))[^\|\[\]\<\⌊\>\{\}\s]{0,29})(?<=\b(?:[\S\s]){1,49}(?<!\b(?:[aA](?:baten|c(?:ceso|o(?:mpañando|sa)|t)|cusa|d(?:herits|i[oó]s|misión|vanced)|eroporto|gus|menazan|[nñN][oO]|n(?:\b|dalucía|fibio|s\b)|prendiendo|şa|spirante|t(?:acó|ención)|u(?:menta|r|sf(?:\.|ührung)|torov)|xudar|y(?:údame|ud(?:ar|dó)))|[bB](?:a(?:rokiem|ttery)|enefician|ílé|usca(?:ndo)?)|[cČC](?:a(?:bellera|lle|mino|ntan?\b|r(?:retera|tas?))|a(?:sar|tegory\:?)|e(?:n(?:sura|trală)|rcano)?|h(?:ama|lorophyll|romogranin?)|iclista|íny|lass|o\.|om(?:ienzan|p(?:any|o(?:sition|und)|r(?:ó|ometido))|unicações)?|o(?:n(?:certo|firma|oció|trat[aoó]|vocatoria)|sta)|u(?:arto|m)|yclosporine)|[dD](?:[áàâăåeêèé]|a(?:lla)?|e(?:dicada|[nst]|nuncian|recho|seó|tienen|s(?:apareceu|p(?:edida|iden))|voción)|[iîìíòôóuùûú]|i(?:gas|le|recto|vision)|o(?:jmy|uble)|urante)|[eéEÉ](?:\b|cusa|insatzgruppe|jecutan?|l(?:e|le)|mpecé|n(?:frenta(?:rá)?|señ(?:ame|[óo])|t(?:onces|re(?:\b|gó|vista)))?|s(:quivel|t)?|t|x(?:itos|tradita(?:do)?))|[fF](?:a(?:cilitar|z)|e(?:menina|rmato)|i(?:ammanti|chó)|ormula|rente|u(?:[ií]|sil|tbol))|[gG](?:alega|enerală|lorie|olpe|r(?:ade|oup)|uerra)|[hH](?:istorických|o(?:mena(?:gem|je|tge)|usle))|[iI](?:\b|l\b|n(?:formații|na|te(?:gran|r(?:preta|vista)))|n(?:trodu(?:cción|zione)|vita(?:ción)?)|storie|terum)|[jJ](?:r|un(?:g|ior|to))|[kK](?:lavír|r(?:ál|tek)|u(?:ltúry|řátko))|[lL](?:abe|e\b|ékaři|ewis|i(?:gada|pid|st)|íderes|iniers|le(?:ga(?:n?|r[aá]?)|va(?:n|sen))|u(?:i|xe))|[mM](?:a(?:nu|s|tar)|hic\b|\.I|[íi]nima\b|iedo|o(?:del|n(?:te|umento)|ro[șs]anu)|o(?:u(?:lin|nd)|vid[ao])|u(?:lt|sgos))|[nN](?:bsp|ei|iegan|ônibus|o(?:mbrar|tícia|us))|[oO](?:kina\}\}|cchio|lza|maggio|noare|riente|sob\b|t(?:ázky|ec\b)|u\b)|[pP](?:a(?:r[at]|s(?:ado|sou?))|e(?:ntru|r(?:ò|petua)|se)|i(?:etro|ù)|lan|o(?:int|nte)|r(?:o|ólogo|e(?:ludio|senta))|r[ůu]myslu|ublicat|\.)|[qQ](?:\sand|u(?:ando|[ei]))|[rR](?:apó|e(?:c(?:ibe|ordando|usa)|ferencias|gião|i|torno)|isale|o(?:i|mână|zšířené))|şi\b|[sS](?:a(?:be|lve\b|tisface)|e(?:ason|cuestran|ine)|[eé]r(?:á|ie|vir)|i(?:c\s?(?:\|)?|de|ngle)|o(?:b(?:re)?|ciální|u)|p(?:ortivă|rijin)|t(?:avební|yky)|u(?:b(?:ida|unit|(?:-)unit)|ma|p(?:le|plemento)|rt|stituye)|[\.é])|[tT](?:arda|áxi|he|o(?:da|or(?:no|turan))|r(?:azendo|en|i(?:buto|ple))|ype)|[uU](?:hlie|n[ade])|[vV](?:a(?:da|[is]?|mos?|riant|yas)|e(?:che|n(?:ce[rn]?|d[aeo]|g[ao]|t[ae]))|e(?:ta|z)|ě(?:du?|rný)|i(?:agem|llena|ol(?:on?cello|u))|i(?:tamin|va(?:ce)?)|ojsko|ol(?:a(?:mos|r)|ta|v(?:amos|er(?:[aáé]|emos|te)?)|v(?:í|i(:?endo)?))|oy|uel(?:[aeu]\b|t[ao]\b|v[aeo]s?\b))|[wW]h[aā]nau|[yY]\b|[zZŽ](?:eit|ivoty))\W?\s?\s?[aA]\s?\s?\2))",\1n \2
\b([aA])ll[ie]+g[iea]+nce\b(?<!llegiance),\1llegiance
\b([pP])ardonn(ed|ing|s)\b,\1ardon\2
\b([bB])ethroted\b,\1etrothed
\b([sS])ervicable\b,\1erviceable
\b([rR])egistr(ed|ing|s?)\b,\1egister\2
\b([oO])uts(ed|ing(?<!could\s+outsing))\b,\1ust\2
\b([sS])porano(s)?\b,\1oprano\2
\b([gG])ulity\b,\1uilty
\b([vV])o(?:age|yae)(s)?\b,\1oyage\2
\b([sS])igend\b,\1igned
\b([pP])redom[ie]?n[aei]ntly\b(?<![pP]redominantly),\1redominantly
\b([tT])ech(es|ings?)\b,\1each\2
"((?:Rs\.\s?|[€£￥\$])[\d,\.–]+(?:\s|&nbsp;)+(?:[mb]|tr))illions\b",\1illion
\b([rR])ec(?:e|ie?)v(ed?|ing)\b,\1eceiv\2
\b([uU]n[vV]|[vV])eill(ed|ing)?\b,\1eil\2
(€[\d\.–]+(?: |&nbsp;)(?:[mb]illion|t(?:housand|rillion))?) euros?\b,\1
"\b(?<![´ˈ׳᾿’′Ꞌꞌ`'\[\|\]\.\,\:\-\&\—\>\/])a\s+((?:a(?:[bcd]|n[acdginot])|e[abcdefgilmnpqrstvxB]|i[cdglmnr]|o[bf])\w+|MVP)(?<!about|es(?:cala|t[aé]\b))\b",an \1
\ba\s+about\b,about
\b([tT])he\s+worlds\b(?=\s+(?:\w+est|first|most|top)\b),\1he world's
\b(\d+)\s+pounder(s)?\b,\1-pounder\2
\btake\s+off\b(?<=\b(a(?:fter|t)|before|during|its|on)\s+take\s+off),takeoff
\b([dD]|[rR]ed)isrict(ed|ing|s?)\b,\1istrict\2
\b([uU])nited\s+([kK])ingdon(s)?\b,\1nited \2ingdom\3
\b([yY])onger(?=\s+(?:[bB]rothers?\b|[sS]isters?\b)),\1ounger
\b([dD])rug\s+([aA])dd+ition(s)?\b,\1rug \2ddiction\3
\b([dD])eep[–‑−—―\s]([sS])e[ae][td]ed\b,\1eep-\2eated
"\bbox[–‑−—―]office(?=[,;\.])",box office
\b([pP])rerequiste(s)?\b,\1rerequisite\2
\b([lL])anuch(e[ds]|ing)?\b,\1aunch\2
\b([hH])yb[iy]rd(s)?\b,\1ybrid\2
\b([fF])ragance(s)?\b,\1ragrance\2
\b([cC])onstrcut(ed|ion|s?)\b,\1onstruct\2
\b([cC])hai?rty\b,\1harity
\b([aA])ssylum(s)?\b,\1sylum\2
\b([bB])lack[–‑−—―\s]body\b(?=\s+radiation\b),\1lack-body
\b([iI])n\s+the\s+mean[–‑−—―\s]+time\b(?!\s+(?:be(?:fore|tween)|of)),\1n the meantime
\b([pP])risonner(s)?\b,\1risoner\2
\b([eE])lswhere\b,\1lsewhere
\b([eE])dior(ials?|s?)\b,\1ditor\2
\b([cC])yling\b,\1ycling
\bbotu?ique(s)?\b,boutique\1
\b([sS])ocring\b,\1coring
\b([aA])blin(al|i(?:c|s(?:ms?|tic))|o(?:s?|tic))\b,\1lbin\2
\b([fF])aciit(ates?|ies|y)\b,\1acilit\2
\bspirt(s|ual(?:i(?:sm|ty))?)?\b,spirit\1
\babl?um(s)?\b,album\1
\b([lL])aywer(s)?\b,\1awyer\2
\b([fF])insh(e(?:[ds]|rs?)|ing)?\b,\1inish\2
\b([hH]|[rR]eh)abiliat(e[ds]?|ion)\b,\1abilitat\2
\b([aA])ppartus(es)?\b,\1pparatus\2
\b([lL])yic(s)?\b,\1yric\2
\b([dD])egee('s|s?)\b,\1egree\2
\b([bB]asket|[cC]annon|[fF]oot|[hH]and|volley)bal(s)?\b,\1ball\2
\bgaler(ies|y)\b(?!\s+[nN]ationales),galler\1
\b([pP])rofli?e([ds])?\b,\1rofile\2
\b([fF])acilti?(ates?|ies|y)\b,\1acilit\2
\b(h|[uU]ph)elding\b,"\1olding"""
\b[uU]nited\s+[sS]tate[';’´ˈ׳᾿‘′Ꞌꞌ`]s\b,"United States'"""
"\bUS(?:\s+(?:D\$?|\$)|D\$?|\$)(?<=(?:\b[a-z]+\s+|[\(,]\s*)US[\s\$D]+)(?:\s+(?:&nbsp;\s*)?|&nbsp;\s*)?\$?(?<!US\$)(?=\d)","US\"""
"([\s\(~])\$?\s?((?:\d+(?:\.\d+)?|(?:\d+,)+\d{3}(?:\.\d\d)?))((?:\s|&nbsp;)+(?:[mbMB]illion|[tT](?:housand|rillion))\b)?(?<![^\$\d](?:1[89]\d\d|20\d\d))(?<!\d\s+\d+)(?:\s|&nbsp;)*US[D\$]\b",\1US\\\2\3
\b([uU])nduely\b,"\1nduly"""
[fF]rani?ksh(?<!18238 Franksh),"Frankish"""
"\bthe\s+U\.?S\.?A\.?(?<!Church\s+in\s+the\s+U\.?S\.?A\.?|Girl\s+Scouts\s+of\s+the\s+USA)(?=(?:,|\s+(?:a(?:fter|nd|[st])|by|f(?:or|rom)|in|to|w(?:hen|ith))\s))(?!\s+for\s+Africa)",the US
\b(A|a(?:nd)?|of|[tT]he(?:ir)?|very|was)\s+hard[–‑−—―\s]+(fought|won)\b(?!\s+for\b),\1 hard-\2
\b([cC])hild[–‑−—―\s]+bearing(?=\s+(?:age\b|women\b|years\b)),\1hild-bearing
\b([pP])ublic(?:all?|call?)?y\b,\1ublicly
\b([aA]|[hH](?:er|is)|[iI]ts|[tT]he(?:ir)?)\s+long[–‑−—―\s]+held\b(?=\s+(?:a(?:mbition|ssumption)|belief|consensus|d(?:e(?:bate|sire)|ream)|f(?:a(?:mily|scination)|ear)|goal|i(?:dea[sl]?|nterest)|myth|notion|opinion|p(?:erception|o(?:lic(?:ies|y)|sition)|ractice)|rivalr(?:ies|y)|secret|t(?:heor(?:ies|y)|r(?:adition|uth))|v(?:alue|i(?:ew|sion))|wish)),\1 long-held
\b([drDR])e[–‑−—―\s](commission(?:ed|ing|s?)|pressuri[sz](?:ation|e[ds]?|ing))\b,\1e\2
\bBowser\. [jJ]r(\.)?\b,Bowser Jr\1
\bPok[eéèê]mon\s+Let['’;´ˈ׳᾿‘′Ꞌꞌ`]?s\s+Go\b,Pokémon: Let's Go
\b[aA]rating\b,rating
\b([aA])s(?:es|se)s[eo]r(s)?\b,\1ssessor\2
\b([tT]hey|[wW]ho)\s+where\b,\1 were
\bphenomena\b(?<=\b[tT]his\s+\w+),phenomenon
(?<=\s+(?:a(?:re|s)|As|be(?:c(?:ame|om(?:e|ing))|en|ing)|is|not|to\s+be|w(?:as|ere))(?:\s+(?:al(?:l|so)|now))?\s+)\bapart\s+of\b,a part of
\b([hH])eavilly[–‑−—―],\1eavily 
\b([rR])e-schedul(e[ds]?|ing)\b,\1eschedul\2
"\b(early|late)[–‑−—―](?<=\b(?:[bB]y|[dD]uring|[fF]rom|[iI]n|of|to|[uU]ntil)\s+[a-z]+-)([12]\d{3})(?=[,\.\;])",\1 \2
\b([dD]isi|[iI])nt(?:er|i)gr?at(e[ds]?|i(?:ng|on))\b,\1ntegrat\2
\b(?:the\s+)?(A(?:pril|ugust)|December|February|J(?:anuary|u(?:ly|ne))|Ma(?:rch|y)|November|October|September)\s+of\s+([12]\d{3})\b,\1 \2
"\b(?=[hH]igh)(?<!(?:[bB]ecause\s+of\s+(?:h(?:er|is)|its|their)|(?:achiev(?:e[ds]?|ing)|creat(?:e[ds]?|ing)|display(?:ed|ing|s?)|ha(?:s|ve)|ke(?:ep(?:ing|s?)|pt)|maintain(?:ed|ing|s?)|retain(?:ed|ing|s?)|with)\s+a)\s+)([hH])igh(?<![A-Z][A-Za-z]+\s+High|specified\s+High|the\s+High)\s+profile\b(?!,|\s+(?:a(?:nd|s)|for|in|of|to)\b)",\1igh-profile
\b([mM])ezzo\s*soprano(s)?\b,\1ezzo-soprano\2
\b([oO]ver|[uU]nder)[–‑−—―\s]+size(d)?\b,\1size\2
\b([fF]irst|[sS]econd)-half(?=\s+(?:a(?:nd|s)|for|in|of|to|was)\b),\1 half
\b([cC])onsistuenc(ies|y)\b,\1onstituenc\2
\b([gG]ale|[hH]urricane)\s+force(?=\s+(?:gusts?|storms?|wind(?:s(?:peeds?)?)?)\b),\1-force
\b([bB])il(?:bo(?:ar|ra?)|lb(?:aor|o(?:a|ra?)))d(s)?\b,\1illboard\2
\bopen\s+air(?<=\b[aA]n\s+open\s+air)(?=\s+(?:a(?:mphitheat(?:er|re)|ren?a|uditorium)|bath|c(?:hurch|inema|ourtyard)|d(?:ance|isplay)|exhibition|festival|m(?:a(?:ll|rket|ss)|eeting|usic)|p(?:avilion|erformance|ool|roduction)|restaurant|s(?:ervice|hopping|ite|t(?:a(?:dium|ge)|ructure)|wimming)|theat(?:er|re)|venue)),open-air
\b([lL])ow\s+lying(?=\s+(?:area|c(?:loud|oastal)|f(?:ield|lat)|ground|hill|island|land|nature|p(?:art|lains?)|region)),\1ow-lying
\b([pP])erformance\s+enhancing(?=\s+(?:drugs?|effects?|s(?:teroids?|ubstances?))),\1erformance-enhancing
\bmade\s+for\s+(T(?:elevision|V)|t(?:elevision|v))\s+(film|movie)\b,made-for-\1 \2
\bgrammy\s+[aA]ward(s)?\b,Grammy Award\1
\b4(?:\s+(?:x\s?|×)|[x×]\s?)([248]00|15?00)\s*m\b,{{nowrap|4 × \1 m}}
\b([mM])ulti[–‑−—―\s]*([mb]|tr)illion[–‑−—―\s]+(dollar|euro|pound)\b(?<!ulti(?:[mb]illion-[a-z]+|trillion-[a-z]+)),\1ulti\2illion-\3
\b(\d+(?:[nr]d|st|th)|e(?:ight(?:eenth|h|ieth)|leventh)|f(?:i(?:ft(?:eenth|h|ieth)|rst)|o(?:rtieth|urt(?:eenth|h)))|hundredth|nint(?:eenth|h|ieth)|s(?:e(?:cond|vent(?:eenth|h|ieth))|ixt(?:eenth|h|ieth))|t(?:enth|h(?:ir(?:d|t(?:eenth|ieth))|ousandth)|we(?:lfth|ntieth)))\b\s+minute(?=\s+(?:equali(?:[sz]er)|goal|header|lead|opener|penalty|st(?:rike|ubstitute)|winner)),\1-minute
"\blead(?=\s+to\s)(?<=(?:Th(?:at|is)|[;\.] th(?:at|is)|, this)\s+lead)",led
\b([oO])ff[–‑−—―\s]+shoot(s)?\b,\1ffshoot\2
\b([sS])wap(ed|ing)\b,\1wapp\2
\b([eE])(?:mcom|nco)pass(e[ds]|ing)?\b,\1ncompass\2
"\b([fF])irst[–‑−—―\s]come,?[−―–—\s\/]+first[–‑−—―\s]serve\b","\1irst-come, first-served"
\b(modern|present)[–‑−—―\s]+day\b(?=\s)(?<=\b(?:[aA]|[bB]y|[iI](?:n|ts)|[nN]ear|of|[tT]heir|with)\s+(?:modern|present)\s+day),\1-day
\b([sS])word[–‑−—―\s]+play\b(?<!\band[–‑−—―\s]+[sS]word[–‑−—―\s]+play),\1wordplay
\b([sS])wordfight([a-z]*)\b,\1word fight\2
\b[bB]at?chelor['’´ˈ׳᾿‘′Ꞌꞌ`]?s?['’´ˈ׳᾿‘′Ꞌꞌ`]?\s+[dD]egree(s)?\b(?<=[a-z]\s+[bB]a[a-z´ˈ׳᾿’′Ꞌꞌ`']+\s+[dD]egrees?)(?<!bachelor's\s+degrees?),bachelor's degree\1
\b[mM]aster['’´ˈ׳᾿‘′Ꞌꞌ`]?s?['’´ˈ׳᾿‘′Ꞌꞌ`]?\s+[dD]egree(s)?\b(?<=[a-z]\s+[mM]a[a-z´ˈ׳᾿’′Ꞌꞌ`']+\s+[dD]egrees?)(?<!master's\s+degrees?),master's degree\1
\b(\d+(?:\s|&nbsp;)+(?:[mb]|tr))illions\s+(albums|copies|dollars|[eE]uros?|p(?:eople|ounds)|records|ton(?:ne)?s|vi(?:ew(?:er)?s|sitors)|years)\b,\1illion \2
\bIn\s+comparison(?=\s)(?!\s+(?:studies\b|to\b|with\b)),"In comparison,"
\bincre?[ai]d[ai]bl([ey])\b,incredibl\1
\bshowed\b(?<=\b(?:are|be(?:en)?|is|w(?:as|ere))\s+showed),shown
\bbachelor['’´ˈ׳᾿‘′Ꞌꞌ`]?s?\s+and\s+master['’´ˈ׳᾿‘′Ꞌꞌ`]?s?\s+degree(s)?\b,bachelor's and master's degree\1
\b(Accordingly|Consequently|Even\s+so|F(?:or\s+example|urthermore)|In(?:deed|\s+other\s+words)|M(?:eanwhile(?!\s+Gardens)|oreover)|N(?:evertheless|onetheless)|On\s+the\s+other\s+hand|Therefore|Subsequently(?!\s+(?:enacted|featured|re(?:built|named)|t(?:old|ransferred))))(?!\s+\|)?(?=\s+[\p{L}´ˈ׳᾿’′Ꞌꞌ`'\[\|\]]+\b),"\1,"
\bAs\s+a\s+result(?=\s)(?!\s+of\b),"As a result,"
\bHowever\s+(?=(?:a(?:ccording|fter|s)|b(?:e(?:cause|fore)|y)|d(?:espite|u(?:e|ring))|f(?:or|rom)|i[fn]|later|not|on(?:ly)?|s(?:ince|ometimes)|there|w(?:hen|ith))\b),"However, "
\b([cC])ommerciall?y-(?<![a-z]+-\w+-)(?=[a-z]+(?:ble\b|ed\b|ful\b))(?![a-z]+-),\1ommercially 
"\b([iI]ce|[sS](?:lush|now))\s+c(app|over)ed(?=[,;\.\)]|\s+(?:area|bluff|cape|except|f(?:ield|orest)|ground|h(?:eadland|i(?:ghway|ll))|island|landscape|mountain|p(?:e(?:ak|ninsula)|lateau|oint)|r(?:idge|o(?:ad|ck)|unway)|s(?:add+le|lope)|terrain|water)s?\b)",\1-c\2ed
\b([lL])ocall?y-(?=[a-z]+ed\b)(?![a-z]+-),\1ocally 
"\b([A-Z][a-z]+)\s+based\b(?<=\b(?:[aA]n?|b(?:etween|y)|f(?:or|rom)|h(?:er|is)|o(?:f|ther)|t(?:he|o)|The|with)\s+[A-Z][a-z]+,?(?:\s+[A-Z][a-z]+)?\s+based)(?!\s+(?:a(?:long|[nt]?)|h(?:er|is)|i(?:n|ts)|largely|mostly|o(?:n|ut\sof)|partially|the(?:ir)?|upon)\b)",\1-based
\b([mM])ili[-–‑−—―]?(amperes?|candelas?|grams?|kelvins?|lit(?:ers?|res?)|m(?:et(?:ers?|res?)|oles?)|seconds?)\b,\1illi\2
\ba\s+one\b(?<=\s+a\s+one)(?=\s+of\b)(?!\s+of\s+a\s+kind),one
\b(\d+|e(?:ight(?:een|y?)|leven)|f(?:i(?:ft(?:een|y)|ve)|o(?:rty|ur(?:teen)?))|hundred|nine(?:t(?:een|y))?|one|s(?:even|ix)(?:t(?:een|y))?|t(?:en|h(?:irt(?:een|y)|ousand|ree)|w(?:e(?:lve|nty)|o)))(?:\s+year(?:\s+|-)|-year\s+)[oO]ld\s+(b(?:oys?|r(?:idge|others?)|uilding)|c(?:h(?:ild(?:ren)?|urch)|o(?:llege|mpany))|d(?:aughter|esign)|f(?:a(?:cility|rmhouse|ther)|emales?)|g(?:irls?|rand(?:daughter|father|mother|son))|h(?:igh\s+school|ouse)|institution|la(?:ndmark|w)|m(?:a(?:les?|n(?:sion)?)|en|iddle\s+school|other)|p(?:atient|erson)|record|s(?:chool|elf|isters?|on|t(?:ructures?|udents?))|t(?:heat(?:ers?|res?)|r(?:adition|ees?))|wo(?:m[ae]n|rld\s+record))\b,\1-year-old \2
\b([sS])oft\s+(boiled|edged|hea(?:ded|rted)|nosed|spoken),\1oft-\2
\b([aA])ll\s+time(?=\s+(?:American\s+League|a(?:ppearance|ssists|ttendance|verage)|b(?:est|iggest|lockbuster)|c(?:areer|l(?:assic|ub))|f(?:a(?:mous|vou?rite)|ranchise)|great(?:est|s?)|hi(?:gh(?:est)?|ts?)|l(?:ea(?:d(?:ers?|ing)?|gue)|ist|ow)|Major|m(?:aximum|ost|usic)|N(?:ational\s+League|CAA|FL)|opening|p(?:eak|o(?:ints|pular))|r(?:ec(?:eiving|ord)|ushing)|s(?:a(?:ck|ves)|coring|eries|ingle)|t(?:able|o(?:p|tal))|Top|w(?:in(?:ningest|s)|or(?:ld|st)))\b),\1ll-time
\b(\d+(?:[nr]d|st|th)|e(?:ight(?:eenth|h|ieth)|leventh)|f(?:i(?:ft(?:eenth|h|ieth)|rst)|o(?:rtieth|urt(?:eenth|h)))|hundredth|nint(?:eenth|h|ieth)|s(?:e(?:cond|vent(?:eenth|h|ieth))|ixt(?:eenth|h|ieth))|t(?:enth|h(?:ir(?:d|t(?:eenth|ieth))|ousandth)|we(?:lfth|tieth)))\b\s+(placed?|rate)(?=\s+(?:best\s+finish|effort|finish|p(?:erformance|o(?:ints\s+finish|sition|wer))|r(?:anking|esult|un\b)|t(?:eam\s+finish|roph(?:ies|y))|victory|winner)),\1-\2
\b(centuri|decad)es\s+old\b(?<=\b(?:[aA]|[tT]he(?:ir)?)\s+[a-z]+\s+old),\1es-old
